"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"FLWS","1-800 FLOWERS.COM, Inc.","2.34","62910900","1999","Consumer Services","Other Specialty Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FLWS&selected=FLWS",
"FCTY","1st Century Bancshares, Inc","3.3","30419400","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FCTY&selected=FCTY",
"FCCY","1st Constitution Bancorp (NJ)","7","31682000","n/a","Finance","Savings Institutions","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FCCY&selected=FCCY",
"SRCE","1st Source Corporation","16.6","403164200","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SRCE&selected=SRCE",
"FUBC","1st United Bancorp, Inc. (FL)","6.83","169261060","n/a","Finance","Major Banks","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FUBC&selected=FUBC",
"TCHC","21st Century Holding Company","3.57","28367220","1998","Finance","Property-Casualty Insurers","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=TCHC&selected=TCHC",
"TDSC","3D Systems Corporation","13.93","322117320","n/a","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=TDSC&selected=TDSC",
"MMM","3M Company","84.01","59910387340","n/a","Health Care","Medical/Dental Instruments","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=MMM&selected=MMM",
"PAR","3PAR Inc","9.65","603945250","1986","Technology","Electronic Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=PAR&selected=PAR",
"SSRX","3SBio Inc.","13.85","298052000","2007","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SSRX&selected=SSRX",
"JOBS","51job, Inc.","26.46","729316980","2004","Technology","Diversified Commercial Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=JOBS&selected=JOBS",
"SVN","7 Days Group Holdings Limited","13.76","228553600","2009","Consumer Services","Hotels/Resorts","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SVN&selected=SVN",
"EGHT","8x8 Inc","1.38","87711420","n/a","Public Utilities","Telecommunications Equipment","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=EGHT&selected=EGHT",
"NDN","99 Cents Only Stores","16.11","1123495290","1996","Consumer Services","Department/Specialty Retail Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=NDN&selected=NDN",
"SHLM","A. Schulman, Inc.","18.02","567323660","1972","Basic Industries","Major Chemicals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=SHLM&selected=SHLM",
"ACMR","A.C. Moore Arts & Crafts, Inc.","1.9","47425900","1997","Consumer Services","Recreational Products/Toys","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ACMR&selected=ACMR",
"ADAM","A.D.A.M. Inc.","3.4","33833400","1995","Technology","Computer Software: Prepackaged Software","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ADAM&selected=ADAM",
"AHC","A.H. Belo Corporation","6.41","118732430","n/a","Consumer Services","Newspapers/Magazines","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AHC&selected=AHC",
"APPA","A.P. Pharma, Inc.","0.64","25288320","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=APPA&selected=APPA",
"AONE","A123 Systems, Inc.","7.63","796121830","2009","Energy","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AONE&selected=AONE",
"AAON","AAON, Inc.","22.5","385222500","n/a","Capital Goods","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AAON&selected=AAON",
"AIR","AAR Corp.","15.24","601705680","n/a","Capital Goods","Aerospace","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AIR&selected=AIR",
"AAN","Aaron's,  Inc.","17.25","1196615250","n/a","Technology","Diversified Commercial Services","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AAN&selected=AAN",
"AAN/A","Aaron's,  Inc.","14.25","165798750","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=AAN/A&selected=AAN/A",
"ASTM","Aastrom Biosciences, Inc.","1.53","43231680","1997","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ASTM&selected=ASTM",
"ABAX","ABAXIS, Inc.","19.4","432367800","1992","Capital Goods","Industrial Machinery/Components","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABAX&selected=ABAX",
"ABB","ABB Ltd","18.93","4551680640","n/a","Consumer Durables","Electrical Products","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABB&selected=ABB",
"ABT","Abbott Laboratories","50.06","77294091740","n/a","Consumer Durables","Major Pharmaceuticals","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ABT&selected=ABT",
"ANF","Abercrombie & Fitch Company","37.66","3321950940","1996","Consumer Services","Clothing/Shoe/Accessory Stores","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ANF&selected=ANF",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","6.68","1743319680","1986","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FAX&selected=FAX",
"IAF","Aberdeen Australia Equity Fund Inc","10.17","195335190","1985","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IAF&selected=IAF",
"CH","Aberdeen Chile Fund, Inc.","19.67","199984890","n/a","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=CH&selected=CH",
"ETF","Aberdeen Emerging Markets Telecommunications Fund Inc.","17.14","141336440","1992","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ETF&selected=ETF",
"FCO","Aberdeen Global Income Fund, Inc.","12.377","111281607","1992","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=FCO&selected=FCO",
"IF","Aberdeen Indonesia Fund, Inc.","12.03","99488100","1990","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=IF&selected=IF",
"ISL","Aberdeen Israel Fund, Inc.","14.64","62542080","1992","n/a","n/a","http://quotes.nasdaq.com/asp/SummaryQuote.asp?symbol=ISL&selected=ISL",
